﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2020/21"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2022
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","First degree","Foundation degree","HNC/HND","Professional graduate certificate in education","Other undergraduate","Total undergraduate"
"10042570","Pearson College","315","0","0","0","30","350"
"10005127","Plymouth College of Art","355","0","0","0","20","375"
"10007801","University of Plymouth","4,330","85","0","90","405","4,905"
"10019178","Point Blank Music School","125","0","0","0","45","170"
"10007155","The University of Portsmouth","6,070","50","35","140","315","6,615"
"10083476","The Prince's Foundation","0","0","0","0","0","0"
"10005337","Queen Margaret University, Edinburgh","725","0","0","0","105","825"
"10007775","Queen Mary University of London","4,290","0","0","0","305","4,590"
"10025197","University Centre Quayside Limited","15","0","0","0","5","20"
"10009292","Royal Academy of Dramatic Art","0","0","0","0","0","0"
"10005544","Royal Academy of Dance","30","0","0","0","5","35"
"10005389","Ravensbourne University London","655","0","0","0","65","715"
"10005470","Richmond, The American International University in London","205","0","0","0","5","210"
"10007802","The University of Reading","3,675","55","0","60","140","3,925"
"10086591","Regent's University London Limited","390","0","0","0","65","455"
"10021100","Regents Theological College","30","0","0","0","5","35"
"10062833","Raindance Educational Services Limited","0","0","15","0","0","15"
"10008455","Regent College","75","0","445","0","0","525"
"10005500","Robert Gordon University","2,330","0","0","0","225","2,555"
"10007776","Roehampton University","2,825","25","0","15","150","3,015"
"10005523","Rose Bruford College of Theatre and Performance","165","0","0","0","10","175"
"10007835","Royal Academy of Music","110","0","0","0","5","120"
"10005545","Royal Agricultural University","270","90","0","0","25","390"
"10007777","Royal College of Art","0","0","0","0","80","80"
"10007778","Royal College of Music","200","0","0","0","10","210"
"10005561","Royal Conservatoire of Scotland","260","0","0","0","25","285"
"10007816","The Royal Central School of Speech and Drama","220","0","0","0","15","230"
"10005553","Royal Holloway and Bedford New College","2,460","0","0","0","40","2,500"
"10007837","Royal Northern College of Music","125","0","0","0","10","135"
"10007779","The Royal Veterinary College","410","45","0","0","20","475"
"10007803","The University of St. Andrews","1,700","0","0","0","130","1,830"
"10007839","SAE Education Limited","205","0","0","0","25","230"
"10007782","St George's, University of London","865","50","0","0","50","965"
"10008026","St Mary's University College","235","0","0","0","0","235"
"10007843","St Mary's University, Twickenham","805","90","0","0","50","945"
"10007156","The University of Salford","3,970","140","35","0","180","4,325"
"10021256","The Salvation Army","0","0","0","0","15","15"
"10008362","London School of Science and Technology Limited","85","25","0","0","25","135"
"10007780","SOAS University of London","650","0","0","0","85","735"
"10005700","SRUC","170","0","615","0","0","785"
"10005790","Sheffield Hallam University","6,295","160","20","15","550","7,035"
"10007157","The University of Sheffield","4,830","165","0","0","95","5,090"
"10023458","The Sherwood Psychotherapy Training Institute Limited","30","0","0","0","0","30"
"10006022","Solent University","2,050","105","155","0","355","2,665"
"10007158","The University of Southampton","3,990","0","0","0","125","4,115"
"10006093","Spurgeon's College","15","0","0","0","40","55"
"10006299","Staffordshire University","2,570","540","40","0","440","3,595"
"10008098","Study Group","0","0","0","0","2,545","2,545"
"10007804","The University of Stirling","1,930","0","0","0","205","2,135"
"10037449","University of St Mark and St John","620","50","0","5","35","705"
"10008010","Stranmillis University College","285","0","0","0","0","285"
"10007805","The University of Strathclyde","3,250","0","0","0","250","3,500"
"10014001","University of Suffolk","1,155","280","25","35","245","1,740"
"10007159","The University of Sunderland","3,225","230","0","20","650","4,125"
"10007160","The University of Surrey","3,910","0","0","0","200","4,110"
"10007806","The University of Sussex","4,235","0","0","0","120","4,350"
"10007855","Swansea University","4,370","20","0","0","520","4,905"
"10007161","Teesside University","2,785","330","595","30","675","4,410"
"10082743","ThinkSpace Education Limited","0","0","0","0","0","0"
"10008017","Trinity Laban Conservatoire of Music and Dance","235","0","0","0","25","260"
"10007858","University of Wales Trinity Saint David","1,420","175","215","70","1,925","3,810"
"10068157","University Centre Peterborough","20","40","120","0","10","190"
"10007114","University of the Highlands and Islands","955","0","1,600","0","660","3,215"
"10007807","Ulster University","5,080","0","0","0","625","5,705"
